text,label,clean_text,emoji_count,tweet_length,has_negation,emoji_count
"تحالف بين #أنصار_بيت_المقدس و #الحرس_الثوري لتنفيذ عمليات ""إرهابية"" في مصر #مصر #الإخوان #المد_الشيعي #عمليات_إرهابية",NEG,تحالف # ءنصار_بيت_المقدس # الحرس_الثوري لتنفيذ عمليات من إرهابية من مصر # مصر # الأخوان # المد_الشيعي # عمليات_ءرهابية,0,19,0,0
#أسم_فيلم_بتحبه أسف على الإزعاج,POS,# ءسم_فيلم_بتحبه آسف الإزعاج,0,4,0,0
_ 0 مش عيب تكذب؟ عمري ما عملت ولا هعمل بلوك لحد لا تمدح نفسك,NEG,_ 0 مش NEG_عيب تكذب عمري NEG_عملت هعمل بلوك لحد NEG_تمدح نفسك,0,12,1,0
الضعف الانتخابي والجماهيري لا يقتصر على الأحزاب الجديدة ويطال بكل تأكيد قوى راسخة في المشهد السياسي إلا أن عقود سلطوية مبارك الطويلة أنهكتها,NEG,الضعف الانتخابي والجماهير NEG_يقتصر الأحزاب الجديدة ويقال بكل تأكيد قوى راسخة المشهد السياسي لا من عقود سوية مبارك الطويلة أنهيتها,0,20,1,0
#مصر_القوية |11-حذرنا من خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية لا تفهم سياسة ولا تعي معنى الدولة ومهامها وحدودها خارج فكرة حمل السلاح,NEG,# مصر_القوية |11-حذرنا خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية NEG_تفهم سياسة تعي معنى الدولة مهامها حدودها خارج فكرة حمل السلاح,0,22,1,0
دعلاء الأسوانى : هل يحاسب الروائى على خياله ؟! اقرأ المقال كاملاً على الرابط التالى,OBJ,علاء السودانى : يحاسب الهواء خياله من ! اقرء المقال كاملا الرابط التالى,0,13,0,0
منذ عامين وحتى الآن كل ما قدمه أنصار تيارات الشعارات الإسلامية لمصر مجرد مشاريع خناقات مع العالم والكون وأبناء الوطن,NEG,عامين وحتى الآن NEG_قدمه أنصار تيارات الشعارات الإسلامية لمصر مجرد مشاريع بطاقات العالم والكون وبناء الوطن,0,16,1,0
دي نسخة أوضح من المعصرة على بوابة الشروق وبإذن الله بكره يوم أجازتي هانزل لكم مساءا مقتطفات منها زي الأسبوع اللي فات,OBJ,دي نسخة أوضح المعذرة بوابة الشروق وبين الله بكره يوم إجازتي انزل مساءا مقتطفات زي الأسبوع اللي فات,0,18,0,0
والله كنت مسافر وبعدين عيان وشكلي هاغيب فترة عشان فجأة صحي مشروع فيلم مهم كنت باحلم بيه من زمان ويبدو إنه هيتحققهاغطس شهرين كده,OBJ,والله كنت مسافر وبعدين عيان شكلي اغيب فترة عشان فجأة صحي مشروع فيلم مهم كنت احلم بيه زمان ويبدو إنه هيتحققهاغطس شهرين كده,0,23,0,0
#باسم_طلع_حرامى يا حرامي,NEG,# باسم_طلع_حرامى حرامي,0,3,0,0
أخبار #مصر #مبارك يظهر لأنصاره من شرفة غرفته أمام مستشفى #المعادى ويحييهم بالفيديو,OBJ,أخبار # مصر # مبارك يظهر أنصاره شرفة غرفته أمام مستشفى # المعادن يحميهم بالفيديو,0,15,0,0
دورة تدريبية فى رمى الطوب بخصوص اتهام النيابة العامة لى بالتحريض على قتل المتظاهرين السلميين الساجدين ! أمام,OBJ,دورة تدريبية فى رمى الطوب بخصوص اتهام النيابة العامة لى بالتحريض قتل المتظاهرين الملايين السجين ! أمام,0,17,0,0
أن تفقد مالك فقد فقدت غالياً في حياتك و أن تفقد شرفك و أمانتك فقد فقدت أغلىما في حياتك لكن إذا فقدت الأمل فقد فقدت كل شيء في حياتك#سوريا,OBJ,من تفقد مالك فقد فقدت غاليا حياتك من تفقد شرفك أمانتك فقد فقدت ءغلىما حياتك هذا فقدت العمل فقد فقدت شيء حياتك # سوريا,0,24,0,0
#حاجات_بتفرح **,OBJ,# حاجات_بتفرح * *,0,4,0,0
#غرد_بصوره #تصوير #تصميمي #مطر #جونا_خقه أتمنى يعجبكم وهلون،،،😗,OBJ,# غرد_بصوره # تصوير # تصميمي # مطر # جونا_خقه أتمنى يعجبكم وهلون،،، EMOJI,1,14,0,1
"دعمرو حمزاوي برنامج "" أخر كلام "" 11 إبريل 2012",OBJ,عمرو مزاجي برنامج من آخر كلام من 11 أبريل 2012,0,10,0,0
السلفي سعيد عبد العظيم قال أن مرسي آية من آيات الله ونسي أن الله تعالى أرسل إلى مصر أيام سيدنا موسى آيات منها الجراد والقمل والضفادع والدم,NEG,الخلفي سعيد عبد العظيم قال من مرسي رؤية فتيات الله ونسي من الله تعالى أرسل على مصر أيام سيدنا موسى فتيات الجراد والعمل الضفادع والدم,0,25,0,0
#بلاغ_لمباحث_الانترنت اللى يعرف المعلومات دى لتزم يكون مشارك فى العمليه,OBJ,# بلاغ_لمباحث_الانترنت اللى يعرف المعلومات دى لازم يكون مشارك فى العمليه,0,11,0,0
مفيش نور يتقطع و محدش يقولي ده كلام احنا في دوله ماينفعش متقدرش توفر كهربتها #لو_بقيت_رئيس_جمهوريه,OBJ,مفيش نور يتقطع محدش يقول ده كلام احنا دوله مينفعش مقدرش توفر كتبتها # لو_بقيت_رءيس_جمهوريه,0,15,0,0
لسان العرب بين الألسنة كزمن الربيع بين الأزمنة #اليوم_العالمي_للغة_العربية,POS,لسان العرب الألسنة زمن الربيع الأزمنة # اليوم_العالمي_للغة_العربية,0,8,0,0
بورك لك في المولود أدعو الله ان يجمع شمل الأسرة في بيتهم الطيب و يجعل من خالد نعم الإبن لنعم الأبوين #,POS,بورك المولود يدعو الله ان يجمع شمل الأسرة بيتهم الطيب يجعل خالد الجبن نعم الأبوين #,0,16,0,0
في القطاع الحكومي وإعطاء حوافز للمشروعات الصغيرة والمتوسطة وتبني مشروع قومي للتعليم ومحو الأمية,OBJ,القطاع الحكومي وإعطاء حوافز للمشروبات الصغيرة المتوسطة وتبني مشروع قومي للتعليم ومحو الكمية,0,13,0,0
الكاتب الصحفي أنور الهواري ضيف #يوسف_الحسيني في #السادة_المحترمون,OBJ,الكاتب الصحفي نور الهوائي ضيف # يوسف_الحسيني # السادة_المحترمون,0,9,0,0
"#اكتب_عبارة_على_باب_قلبك ' فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قـــشرا""",NEUTRAL,# اكتب_عبارة_على_باب_قلبك ' فراق وجهك ضيق ومواجهة عيد والوقت قاسي والتقاليد قشرة من,0,13,0,0
وهاأنذا اجدد العرض مرة اخرى ولن اكل ولن امل وفى انتظار حملات تشويه اخرى انا لها باذن الله 8,OBJ,وراءنا اجدد العرض مرة اخرى ولن اكل ولن امل وفى انتظار حملات تشويه اخرى انا باذن الله 8,0,18,0,0
اكثر شعور يوجع ! ^#لما تجوع في بيت مو بيتكم ☺**,NEG,اكثر شعور يوجع ! ^ # تجوع بيت مو NEG_بيتكم EMOJI * *,1,13,1,1
5 هاتلي اخوان أي حاجة مش تنوين ومش ضمير اخوان وبعدها كلمة مش هتلاقي غير لوط وشياطين!,NEG,5 هاتفي اخوان في حاجة مش NEG_تنوين ومش ضمير اخوان وبعدها كلمة مش NEG_هتلاقي NEG_لوط وشياطين !,0,17,1,0
​مرت سنتين و أكثر علي فراقهم و أنت أعدت فقط نصف حقهم إفرح لأنك أعدت البسمة لوجوه أهلهم ٢٥ #مذبحة_بورسعيد,OBJ,مرت سنتين أكثر علي فريقهم أنت عدت فقط نصف حقهم فرح لأنك عدت البسمة لوجوه أهلهم ٢٥ # مذبحة_بورسعيد,0,19,0,0
#تيتو_فيلانوفا ، اول سنة تدريب حقق ال100 نقطة ولم يتحدث عنها الكثير مورينيو زليون سنة تدريب ويُلقب بـ سبيشل ون حقق ال100 قالو…,OBJ,# تيتو_فيلانوفا من اول سنة تدريب حقق ال100 نقطة ولم يتحدث عنها الكثير مورينو مليون سنة تدريب ويلعب سبيل ون حقق ال100 قالوا,0,23,0,0
ميثاق الشرف الانتخابي وقع عليه معظم مرشحي الدائرة وهدفه البعد عن الدعاية السلبية وحملات التشهير و الدعاية الإيجابية للبرنامج والمرشح,OBJ,ميثاق الشرف الانتخابي وقع معظم مرشحي الدائرة هدفه البعد الدعاية السلبية حملات التشهير الدعاية الإيجابية للبرنامج المرشح,0,17,0,0
عايز تكون عضو في حمله المشير السيسي سهل جداًً ساعدنا اننا نعمل مليون شييييييييييييييييييييييييييير #سأنتخب_السيسي …,POS,عايز تكون عضو حمله المشير السيسي سهل جدا ساعدنا اننا نعمل مليون شييييييييييييييييييييييييييير # سءنتخب_السيسي من,0,16,0,0
#الشروق | المستشار #عبدالمجيد_محمود يعتزم تقديم استقالته خلال أيام #النائب_العام,OBJ,# الشروق | المستشار # عبدالمجيد_محمود يعتزم تقديم استقالته خلال أيام # الناءب_العام,0,13,0,0
الماظة:لابد من معايرة العدادات وتوحيد التعريفة لكل القاطنين،التقديرات الجزافية ظلم ولابد أن تتوقف,NEG,المادة : لابد معايرة العدادات توحيد التعريف لكل القاطنين،التقديرات الجافية ظلم ولابد من تتوقف,0,14,0,0
هل يمكن ان نترك الثورة تنكسر خوفا من ان يستغل الاخوان النصر لصالحهم ام واجبنا ان ننصر الثورة ثم نحمي النصر من الاستغلال سؤال اوجهه للجميع,OBJ,يمكن ان نترك الثورة تنكسر خوفا ان يستغل الاخوان النصر لصالحهم ام واجبنا ان ننظر الثورة نحمي النصر الاستغلال سؤال أوجهه للجميع,0,22,0,0
"من سنن التي تفعل في وضع التشهد وضع اليدين على الفخذين "" اليمنى على اليمنى واليسرى على اليسرى مبسوطتي الأصابع مضمومتين "" #نشر_سيرته #",OBJ,سنة تفعل وضع المشهد وضع اليدين الفخذين من اليمنى اليمنى واليسرى اليسرى مبسوط الأصابع مجموعتين من # نشر_سيرته #,0,19,0,0
كلام الناس لا بيقدم ولا يأخر كلام الناس #عن #النيزك مش أكتر !,OBJ,كلام الناس NEG_بيقدم يسخر كلام الناس # # النيزك مش NEG_ءكتر !,0,12,1,0
هل هناك فرق بين الفاشية العسكرية والفاشية الدينية ؟! د علاء الأسواني يكتب : كيف نتحرر من الفاشية ؟! >>,OBJ,فرق الفاشية العسكرية الفاشية الدينية من ! علاء السوداني يكتب : نتحرر الفاشية من ! > >,0,17,0,0
جمهورية مصر الطبيعية جمهورية ديمقراطية حقيقية جمهورية مدنية تحمي حقوق المواطنة و المساواة و العدل,POS,جمهورية مصر الطبيعية جمهورية ديمقراطية حقيقية جمهورية مدنية تحمي حقوق المواطنة المساواة العدل,0,13,0,0
#سنن_قبل_النوم قبل نومك ضع يدك اليمنى تحت خدك الايمن وقل : [ اللهم قِـني عذابك يوم تبعث عبادك ] ثلاث مرات,OBJ,# سنن_قبل_النوم نومك ضع يدك اليمنى خدك الايمن وقل : [ اللهم أني عذابك يوم تبعث عبادة ] مرات,0,19,0,0
لا زيادة فى أسعار #البنزين و #الكهرباء والسلع الغذائية,OBJ,NEG_زيادة فى أسعار # البنزين # الكهرباء السلع الغذائية,0,9,1,0
#شبشب_ابوصباع الشبشب كان مضبوط بس الصباع كان كبير شوية,OBJ,# شبشب_ابوصباع الشباب مضبوط الصباح كبير شوية,0,7,0,0
ملتقى الوسط الشهري- بلال فضل ضيفا 2/10 الساعة 8 فى ساقية الصاوي - قاعة الكلمة # _ _,OBJ,ملتقى الوسط الشهرية بلال فضل ضيفا 2/10 الساعة 8 فى ساقية الصافي - قاعة الكلمة # _ _,0,18,0,0
كنت اكره القراءه و حولني الى مهوسه بها حولت البيت الي #معرض_الكتاب ممتنه لك جدا استاذي,POS,كنت اكره القراءه حولني الى مهوسه حولت البيت الي # معرض_الكتاب ممتنه جدا استاذي,0,14,0,0
دعاء الخروج من البيت: يقدم الرجل اليمنى: بسم الله توكلت على الله لا حول ولا قوه الا بالله #أدعية,OBJ,دعاء الخروج البيت : يقدم الرجل اليمنى : بسم الله توصلت الله NEG_حول قوه الا NEG_بالله # مدعية,0,18,1,0
تابعواالأن #نقطة_لقاءمع #يوسف_الحسينى دمجدى عبد الحميد المنسق العام للجنة الشعبية المشاركة في إعداد الدستور …,OBJ,تابعواالءن # نقطة_لقاءمع # يوسف_الحسينى مجدى عبد الحميد المنسق العام للجنة الشعبية المشاركة عداد الدستور من,0,16,0,0
… … وَيَضْرِبُ الرَّبُّ مِصْرَ ضَارِبًا فَشَافِيًا :نبوءة خلاص مصر وسوريا وظهور المنتظر #محمد_محمود #الشرطة_المصرية,OBJ,من من ويضرب الرب مصر ضربا فلافيا : نبوءة خلاص مصر وسوريا وظهور المنتظر # محمد_محمود # الشرطة_المصرية,0,18,0,0
عرض الاسبوع 40 ألف متابع #شوارعنا #فن_تتقنه_النساء #ذلك_الشخص #شي_ودك_تجربه #بوح #درر #عجبني #حلو #مكه [2036345],OBJ,عرض الاسبوع 40 ألف متابع # شوارعنا # فن_تتقنه_النساء # ذلك_الشخص # شي_ودك_تجربه # بوح # دور # يعجبني # حلو # منه [ 2036345 ],0,26,0,0
#اوعى_تنسى ( ) 1900 920007606 ▼▼▼▼,OBJ,# اوعى_تنسى ( ) 1900 920007606 ▼▼▼▼,0,7,0,0
"#الثورة_العراقية :: هروب ضابط استخبارات الفوج الخامس في جهاز مكافحة الارهاب "" المقدم حسين محجوب عبد الامير",OBJ,# الثورة_العراقية : : هروب ضابط استخبارات الفوج الخامس جهاز مكافحة الارهاب من المقدم حسين محجوب عبد الامير,0,18,0,0
محدش عنده #ضحكة سلف,OBJ,محدش عنده # ضحكة سلف,0,5,0,0
#مصطفى_حسني أسًتُغّـفُر ٱللۂ عدُدُ حًبّٱتُ ٱلمطٌر أسًتُغّـفُر ٱللۂ عدُدُ ٱلرمل,OBJ,# مصطفى_حسني أستغفر الله عدد حبات المطر أستغفر الله عدد الرمل,0,11,0,0
هل يحضر الرئيس المخلوع جلسة المحاكمة اليوم؟ شاركنا برأيك الليلة في آخر كلام عبر صفحتنا #,OBJ,يحضر الرئيس المخلوع جلسة المحاكمة اليوم شاركنا برأيك الليلة آخر كلام عبر صفحتنا #,0,14,0,0
‏ الأسواني:ماذا فعلوا الأخوان رداًعلى سحل فتاة وتعريتها وقتل العشرات من قبل العسكر الذين كانوا متحالفين معهم آنذاك؟>,NEG,من السوداني : فعلوا الأخوان اعلى حل فتاة وتركتها وقتل العشرات العسكر كانوا محلفين معهم ءءنذاك؟ >,0,17,0,0
المشير #السيسي يزور الكاتدرائية المرقسية ويهنئ الإخوة الأقباط بعيد القيامة المجيد …,OBJ,المشير # السيسي يزور الكاتدرائية المركزية وهنا الأخوة الضباط بعيد القيامة المجيد من,0,13,0,0
حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية,NEG,حرية التعبير NEG_تتضمن التحريض العنف الفتنة الطافية خطاب كراهية,0,9,1,0
قصدي كان موجه لكذبك أني ما كنتش هناك,NEG,قصدي موجه لكذبك أني NEG_كنتش,0,5,1,0
محبين البرنامج بيزيدوا :),POS,محبين البرنامج يزيدوا : ),0,5,0,0
مرسي فتح على نفسه فتوحة ضنك بذاته الرئاسية دي ده فيه ناس هيبقى كيفها الشتيمة بعد كده,NEG,مرسي فتح نفسه مفتوحة أنك بذاته الرئاسية دي ده ناس يبقى كيفما الشتيمة كده,0,14,0,0
تشيلسي سيدخل تدريب صباحي اليوم بتواجد هازارد و ايتو ولويز وراميريز بعد غيابهم بالامس ولم يتبين دخول تيري للتدريبات #تش…,OBJ,تشيلسي سيدخل تدريب صباحي اليوم بتواجد هازارد إيتو لويز راميريز غيابهم بالامس ولم يتبين دخول تيري للتدريبات # تشا,0,19,0,0
متى نرى تحليلا سوسيولوجيا متعمقا يليق بهذه الأغنية وتلخيصها لأحوالنا وطريقتنا الفريدة في المزج بين الحزن والعبث,OBJ,نرى تحليلا سوسيولوجيا متعلقا يليق بهذه الأغنية تشخيصها لحالنا طريقتنا الفريدة المزج الحزن والعبث,0,14,0,0
#فولورز_عفركوش_بيعملو_فولو_لبعض فولوووووووووووو = بااااااااااااااااااااااك,OBJ,# فولورز_عفركوش_بيعملو_فولو_لبعض فولوووووووووووو = بااااااااااااااااااااااك,0,5,0,0
لا أبدا أنا مسرور من كلامك,POS,NEG_ءبدا أنا مسرور كلامك,0,4,1,0
"#عاجل :: تأجيل #محاكمة_مرسي و14 آخرين في قضية ""أحداث #الاتحادية"" إلى جلسة 3 مايو المقبل #سوو",OBJ,# عاجل : : تسجيل # محاكمة_مرسي وقت آخرين قضية من أحداث # الاتحادية من على جلسة 3 المقبل # سوو,0,21,0,0
"#القاهرة حملة أمنية إستهدفت البؤر الإجرامية بدوائر أقسام شرطة "" #مصر_القديمة ، #المعادى ، #دار_السلام"") كمية من",OBJ,# القاهرة حملة أمنية استهدفت البشر الإجرامية بدوار أقسام شرطة من # مصر_القديمة من # المعادن من # دار_السلام من ) كمية,0,22,0,0
انا عايز اعرف هو ايه الجنيه ده #مصر_الليلة,OBJ,انا عايز اعرف ايه الجنيه ده # مصر_الليلة,0,8,0,0
"#حازم_عبد_العظيم وهو بيرد عليا على تويتر أيام حكم #مرسى ويقولى "" الجيش يدخل ليحل وليس ليحكم"" وحازم دلوقتى فى",OBJ,# حازم_عبد_العظيم بيرد عليا تويتر أيام حكم # مرسى ويقول من الجيش يدخل ليحل وليس ليحكم من حازم دلوقتى فى,0,20,0,0
وقعنا على طلب لمحاسبة النائب مصطفى بكري على إهانة البرادعي كمواطن مصري داخل المجلس وإتهامه بالخبانة,OBJ,وقعنا طلب لمحاربة النائب مصطفى بكري إهانة الراعي كمواطن مصري داخل المجلس اتهامه بالخيانة,0,14,0,0
بكري قبل مايستقيل خد معاه الميكروفون البيتبكري متن خد غرضه من المجلس,NEG,بكري استقيل خد معاه الميكروفون البيتبكري متن خد غرضه المجلس,0,10,0,0
#عمرو_سلامة : لما أعمل فيلم أخد موافقة مين؟,OBJ,# عمرو_سلامة : عمل فيلم خد موافقة مين,0,8,0,0
علاء الأسواني يروى عن شباب الثورة: المصريين ما كانوش كفار قبل ما يحكمهم الإخوان >> المقال كاملاً >> …,OBJ,علاء السوداني يروى شباب الثورة : المصريين NEG_كانوش كفأر NEG_يحكمهم الأخوان > > المقال كاملا > > من,0,18,1,0
وكامل الاحترام لـ #عباس اللي مسك لسانه وما شتمش,POS,وكامل الاحترام # عباس اللي مسك لسانه شتم,0,8,0,0
